num	time	ers	depth	appends	dedup	frontier	bankrupt	elapsed	verdict	change	config
0	2026-04-03T06:48:54.116466	0.0	0	30	0	9	0	600	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 999}
1	2026-04-03T06:59:04.577273	0.0	0	33	0	12	0	600	DISCARD	edit:problem.txt (The baseline experiment had depth=0, indicating agents are l)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 999}
2	2026-04-03T07:09:19.826315	0.0	0	42	1	14	0	600	DISCARD	edit:problem.txt (The last two experiments had depth=0, indicating agents are )	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 999}
3	2026-04-03T07:19:36.551839	0.0	0	44	2	17	0	600	DISCARD	edit:problem.txt (The last 3 experiments had depth=0 because agents were resta)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 999}
4	2026-04-03T07:29:52.541045	0.0	0	28	5	13	0	600	DISCARD	edit:problem.txt (The last four experiments had depth=0 because agents were li)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 999}
0	2026-04-03T07:45:36.688340	0.0	0	27	4	7	0	600	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
0	2026-04-03T07:57:51.202321	0.0225	3	26	0	12	0	600	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
1	2026-04-03T08:08:11.802020	0.00205	1	39	7	16	0	600	DISCARD	edit:problem.txt (The previous experiment had low depth (3). The problem promp)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
2	2026-04-03T08:18:26.873732	0.04	4	23	0	9	0	600	KEEP	edit:problem.txt (The previous experiments show depth=1 and depth=3, which is )	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
3	2026-04-03T08:28:45.509290	0.00242	1	32	1	13	0	600	DISCARD	edit:problem.txt (The previous experiments show depth=4,3,1 - still too low. T)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
4	2026-04-03T08:39:04.980214	0.02148	3	44	2	14	0	600	DISCARD	edit:problem.txt (The previous experiments show depth scores of 1, 4, 1, 3 - s)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
5	2026-04-03T08:49:19.853778	0.0	0	12	0	6	0	600	DISCARD	edit:problem.txt (The previous experiments show depth scores of 3-4, which is )	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
6	2026-04-03T08:59:42.790837	0.0	0	13	0	7	0	600	DISCARD	edit:problem.txt (The previous experiments show depth scores of 3-4, which is )	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
7	2026-04-03T09:10:02.679971	0.0	0	14	0	6	0	600	DISCARD	edit:problem.txt (The previous experiments show depth scores of 3-4, which is )	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
8	2026-04-03T09:20:21.001611	0.0225	3	37	0	16	0	600	DISCARD	edit:problem.txt (The last experiments show depth scores of 0-4, indicating ag)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
