model	N	run	nodes	tx	gen	complete	m12	p90	agents	bal_min
Qwen/Qwen3-8B	10	1	3	249	1	0	1	1	10	7050
Qwen/Qwen3-14B	10	1	45	132	1	0	20	0	10	8150
Qwen/Qwen3-8B	10	2	3	166	1	0	0	0	10	7200
Qwen/Qwen3-14B	10	2	33	130	1	0	13	1	10	7625
Qwen/Qwen3-14B	10	3	39	119	1	0	17	0	10	7800
Qwen/Qwen3-8B	10	3	10	250	1	0	2	5	10	7050
Qwen/Qwen3-8B	10	4	9	210	1	0	2	7	10	7650
Qwen/Qwen3-14B	10	4	38	139	1	0	18	0	10	7925
Qwen/Qwen3-8B	10	5	8	259	1	0	5	2	10	7200
Qwen/Qwen3-14B	10	5	29	120	1	0	7	0	10	7975
Qwen/Qwen3-8B	15	1	11	181	1	0	0	2	15	8250
Qwen/Qwen3-14B	15	1	93	366	1	0	31	1	15	6765
Qwen/Qwen3-14B	15	1	129	506	1	0	68	2	15	4875
Qwen/Qwen3-8B	15	2	11	173	1	0	1	3	15	8450
Qwen/Qwen3-14B	15	2	85	308	1	0	21	2	15	7125
Qwen/Qwen3-14B	15	2	95	447	1	0	18	3	15	5820
Qwen/Qwen3-14B	15	3	331	14912	41	0	221	39	15	0
Qwen/Qwen3-8B	15	3	8	147	1	0	1	1	15	8450
Qwen/Qwen3-14B	15	3	96	406	1	0	19	1	15	6245
Qwen/Qwen3-14B	15	4	118	425	1	0	38	4	15	6150
Qwen/Qwen3-8B	15	4	8	173	1	0	4	1	15	8700
Qwen/Qwen3-14B	15	5	100	420	1	0	18	3	15	6070
Qwen/Qwen3-8B	15	5	13	159	1	0	2	3	15	8650
qwen3-14b	1	1	45	240	1	0	44	4	1	745
Qwen/Qwen3-14B	1	1	13	44	5	0	8	3	1	7650
qwen3-8b	1	1	1	1	1	0	0	0	1	10000
Qwen/Qwen3-32B	1	1	4	10	7	0	0	0	1	9850
deepseek-ai/DeepSeek-V3	1	1	6	16	8	0	2	1	1	8930
qwen3-8b	1	1	1	1	1	0	0	0	1	10000
qwen3-8b	1	1	1	1	1	0	0	0	1	10000
qwen3-14b	1	2	54	191	1	0	41	7	1	3300
qwen3-8b	1	2	1	1	1	0	0	0	1	10000
qwen3-8b	1	3	1	1	1	0	0	0	1	10000
qwen3-14b	1	3	42	258	1	0	31	5	1	30
qwen3-8b	1	4	1	1	1	0	0	0	1	10000
qwen3-14b	1	4	49	195	1	0	45	6	1	400
qwen3-14b	1	5	31	177	1	0	20	5	1	5050
qwen3-8b	1	5	1	1	1	0	0	0	1	10000
Qwen/Qwen3-14B	20	1	310	9612	39	0	144	47	20	0
Qwen/Qwen3-8B	20	1	7	229	2	0	2	1	20	8450
Qwen/Qwen3-8B	20	2	19	255	2	0	8	6	20	8050
Qwen/Qwen3-8B	20	3	8	290	2	0	0	5	20	8150
Qwen/Qwen3-8B	20	4	17	287	1	0	2	4	20	8300
Qwen/Qwen3-8B	20	5	8	278	2	0	2	2	20	8450
qwen3-14b	3	1	72	444	1	0	25	9	3	0
qwen3-8b	3	1	33	338	1	0	1	4	3	0
qwen3-8b	3	2	46	353	1	0	1	3	3	0
qwen3-14b	3	2	84	474	1	0	50	4	3	0
qwen3-14b	3	3	75	445	1	0	69	5	3	0
qwen3-8b	3	3	45	307	1	0	0	3	3	0
qwen3-8b	3	4	35	348	1	0	6	7	3	0
qwen3-14b	3	4	51	415	1	0	25	7	3	0
qwen3-8b	3	5	33	329	1	0	2	6	3	0
qwen3-14b	3	5	121	92465	1	0	54	14	3	0
Qwen/Qwen3-8B	5	1	17	310	1	0	6	5	5	3600
Qwen/Qwen3-14B	5	1	127	429	1	0	32	1	5	0
Qwen/Qwen3-8B	5	2	12	190	2	0	2	6	5	4750
Qwen/Qwen3-14B	5	2	97	353	1	0	43	5	5	1875
Qwen/Qwen3-14B	5	3	70	267	1	0	55	2	5	2400
Qwen/Qwen3-8B	5	3	6	228	1	0	1	2	5	4150
Qwen/Qwen3-14B	5	4	65	298	1	0	51	3	5	25
Qwen/Qwen3-8B	5	4	31	285	1	0	2	6	5	4900
Qwen/Qwen3-14B	5	5	63	233	1	0	18	2	5	3225
Qwen/Qwen3-8B	5	5	11	171	3	0	0	3	5	5950
Qwen/Qwen3-14B	7	1	113	367	1	0	62	1	7	1800
qwen3-8b	7	1	91	510	1	0	29	10	7	2500
qwen3-8b	7	2	94	517	1	0	32	7	7	1650
Qwen/Qwen3-14B	7	2	88	339	1	0	21	2	7	3100
Qwen/Qwen3-14B	7	3	84	356	1	0	11	1	7	3950
qwen3-8b	7	3	133	588	1	0	10	7	7	1300
qwen3-8b	7	4	102	594	1	0	43	9	7	1800
Qwen/Qwen3-14B	7	4	93	318	1	0	39	2	7	3685
qwen3-8b	7	5	86	555	1	0	7	7	7	2150
Qwen/Qwen3-14B	7	5	505	18683	31	0	189	26	7	0
